"breeding_stages","prop_scenario","matrix_number","uncertainty_level","percentage"
"multiple","f_only",1,"high",0.00939999999999996
"multiple","f_only",1,"low",0
"multiple","f_only",1,"mid",0
"multiple","f_only",2,"high",0.0551
"multiple","f_only",2,"low",0
"multiple","f_only",2,"mid",0
"multiple","f_only",3,"high",0.1805
"multiple","f_only",3,"low",0
"multiple","f_only",3,"mid",0.0254
"multiple","f_only",4,"high",0.2473
"multiple","f_only",4,"low",0
"multiple","f_only",4,"mid",0.1406
"multiple","f_only",5,"high",0.4108
"multiple","f_only",5,"low",0
"multiple","f_only",5,"mid",0.0256999999999999
"multiple","full",1,"high",0.0839
"multiple","full",1,"low",0
"multiple","full",1,"mid",0.000199999999999978
"multiple","full",2,"high",0.1168
"multiple","full",2,"low",0
"multiple","full",2,"mid",0.000199999999999978
"multiple","full",3,"high",0.2391
"multiple","full",3,"low",0
"multiple","full",3,"mid",0.0451
"multiple","full",4,"high",0.3515
"multiple","full",4,"low",0.000299999999999967
"multiple","full",4,"mid",0.195
"multiple","full",5,"high",0.4408
"multiple","full",5,"low",0
"multiple","full",5,"mid",0.043
"multiple","s_only",1,"high",0.0823
"multiple","s_only",1,"low",0
"multiple","s_only",1,"mid",9.9999999999989e-05
"multiple","s_only",2,"high",0.074
"multiple","s_only",2,"low",0
"multiple","s_only",2,"mid",0
"multiple","s_only",3,"high",0.2132
"multiple","s_only",3,"low",0
"multiple","s_only",3,"mid",0.001
"multiple","s_only",4,"high",0.3416
"multiple","s_only",4,"low",9.9999999999989e-05
"multiple","s_only",4,"mid",0.0741000000000001
"multiple","s_only",5,"high",0.0684
"multiple","s_only",5,"low",0
"multiple","s_only",5,"mid",9.9999999999989e-05
"one","f_only",1,"high",0.001
"one","f_only",1,"low",0
"one","f_only",1,"mid",0
"one","f_only",2,"high",0.00349999999999995
"one","f_only",2,"low",0
"one","f_only",2,"mid",0
"one","f_only",3,"high",0.0105
"one","f_only",3,"low",0
"one","f_only",3,"mid",0
"one","f_only",4,"high",0.0633
"one","f_only",4,"low",0
"one","f_only",4,"mid",9.9999999999989e-05
"one","f_only",5,"high",0.1984
"one","f_only",5,"low",0
"one","f_only",5,"mid",0.0484
"one","full",1,"high",0.00339999999999996
"one","full",1,"low",0
"one","full",1,"mid",0.00639999999999996
"one","full",2,"high",0.0306
"one","full",2,"low",0
"one","full",2,"mid",0.000800000000000023
"one","full",3,"high",0.0935
"one","full",3,"low",0
"one","full",3,"mid",0.000399999999999956
"one","full",4,"high",0.18
"one","full",4,"low",9.9999999999989e-05
"one","full",4,"mid",0.00970000000000004
"one","full",5,"high",0.3054
"one","full",5,"low",0.000199999999999978
"one","full",5,"mid",0.1287
"one","s_only",1,"high",9.9999999999989e-05
"one","s_only",1,"low",0
"one","s_only",1,"mid",0.00739999999999996
"one","s_only",2,"high",0.0278
"one","s_only",2,"low",0
"one","s_only",2,"mid",0.000900000000000012
"one","s_only",3,"high",0.0992
"one","s_only",3,"low",0
"one","s_only",3,"mid",0.000199999999999978
"one","s_only",4,"high",0.1769
"one","s_only",4,"low",9.9999999999989e-05
"one","s_only",4,"mid",0.00280000000000002
"one","s_only",5,"high",0.3568
"one","s_only",5,"low",9.9999999999989e-05
"one","s_only",5,"mid",0.0773
