"breeding_stages","prop_scenario","matrix_number","uncertainty_level","percentage"
"multiple","f_only",1,"high",0.2451
"multiple","f_only",1,"low",0
"multiple","f_only",1,"mid",0.1392
"multiple","f_only",2,"high",0.3063
"multiple","f_only",2,"low",0
"multiple","f_only",2,"mid",0.3206
"multiple","f_only",3,"high",0.2506
"multiple","f_only",3,"low",0
"multiple","f_only",3,"mid",0.1454
"multiple","f_only",4,"high",0.6301
"multiple","f_only",4,"low",9.9999999999989e-05
"multiple","f_only",4,"mid",0.4532
"multiple","f_only",5,"high",0.2579
"multiple","f_only",5,"low",0
"multiple","f_only",5,"mid",0.000600000000000045
"multiple","full",1,"high",0.3335
"multiple","full",1,"low",0.000199999999999978
"multiple","full",1,"mid",0.1717
"multiple","full",2,"high",0.5265
"multiple","full",2,"low",0.000399999999999956
"multiple","full",2,"mid",0.4645
"multiple","full",3,"high",0.5761
"multiple","full",3,"low",0.000299999999999967
"multiple","full",3,"mid",0.4776
"multiple","full",4,"high",0.6111
"multiple","full",4,"low",0.000800000000000023
"multiple","full",4,"mid",0.4515
"multiple","full",5,"high",0.3649
"multiple","full",5,"low",0
"multiple","full",5,"mid",0.00249999999999995
"multiple","s_only",1,"high",0.2704
"multiple","s_only",1,"low",9.9999999999989e-05
"multiple","s_only",1,"mid",0.0419
"multiple","s_only",2,"high",0.4988
"multiple","s_only",2,"low",0.000700000000000034
"multiple","s_only",2,"mid",0.4195
"multiple","s_only",3,"high",0.5449
"multiple","s_only",3,"low",0.000199999999999978
"multiple","s_only",3,"mid",0.4281
"multiple","s_only",4,"high",0.4631
"multiple","s_only",4,"low",0.000399999999999956
"multiple","s_only",4,"mid",0.3324
"multiple","s_only",5,"high",0.00119999999999998
"multiple","s_only",5,"low",0
"multiple","s_only",5,"mid",0
"one","f_only",1,"high",0
"one","f_only",1,"low",0
"one","f_only",1,"mid",0
"one","f_only",2,"high",0
"one","f_only",2,"low",0
"one","f_only",2,"mid",0
"one","f_only",3,"high",0
"one","f_only",3,"low",0
"one","f_only",3,"mid",0
"one","f_only",4,"high",0
"one","f_only",4,"low",0
"one","f_only",4,"mid",0
"one","f_only",5,"high",0.3366
"one","f_only",5,"low",0.1015
"one","f_only",5,"mid",0.4175
"one","full",1,"high",0.0148
"one","full",1,"low",0
"one","full",1,"mid",0
"one","full",2,"high",0.0279
"one","full",2,"low",0
"one","full",2,"mid",0
"one","full",3,"high",0.0282
"one","full",3,"low",0
"one","full",3,"mid",9.9999999999989e-05
"one","full",4,"high",0.0909
"one","full",4,"low",0.000199999999999978
"one","full",4,"mid",0.0357
"one","full",5,"high",0.4222
"one","full",5,"low",0.1145
"one","full",5,"mid",0.4378
"one","s_only",1,"high",0.0168
"one","s_only",1,"low",0
"one","s_only",1,"mid",0
"one","s_only",2,"high",0.0321
"one","s_only",2,"low",0
"one","s_only",2,"mid",0
"one","s_only",3,"high",0.03
"one","s_only",3,"low",0
"one","s_only",3,"mid",9.9999999999989e-05
"one","s_only",4,"high",0.0898
"one","s_only",4,"low",9.9999999999989e-05
"one","s_only",4,"mid",0.0368000000000001
"one","s_only",5,"high",0.4179
"one","s_only",5,"low",9.9999999999989e-05
"one","s_only",5,"mid",0.4522
